test	pin_file	area	verdict	evidence	declined_ref	pin_commit	sweep_date	confidence	source_doc
set_server_metadata_keeps_known_baseline_when_cost_field_is_absent	app/src/ai/agent/api/convert_conversation_tests.rs	app-ai	CLOUD	New at 42effe840. Pin file imports `use crate::cloud_object::{Revision, ServerMetadata, ServerPermissions};` and `use crate::server::ids::ServerId;`; the three added tests all drive `set_server_metadata` -- server-authored conversation metadata (cost baseline / usage footer) arriving from warp-server.		42effe840	2026-08-15	clean	issue-592-newtest-gap
set_server_metadata_with_zero_usage_keeps_footer_usage_hidden	app/src/ai/agent/api/convert_conversation_tests.rs	app-ai	CLOUD	New at 42effe840. Pin file imports `use crate::cloud_object::{Revision, ServerMetadata, ServerPermissions};` and `use crate::server::ids::ServerId;`; the three added tests all drive `set_server_metadata` -- server-authored conversation metadata (cost baseline / usage footer) arriving from warp-server.		42effe840	2026-08-15	clean	issue-592-newtest-gap
stale_server_metadata_snapshot_never_regresses_known_total	app/src/ai/agent/api/convert_conversation_tests.rs	app-ai	CLOUD	New at 42effe840. Pin file imports `use crate::cloud_object::{Revision, ServerMetadata, ServerPermissions};` and `use crate::server::ids::ServerId;`; the three added tests all drive `set_server_metadata` -- server-authored conversation metadata (cost baseline / usage footer) arriving from warp-server.		42effe840	2026-08-15	clean	issue-592-newtest-gap
test_convert_conversation_data_to_ai_conversation_sets_restored_run_id	app/src/ai/agent/api/convert_conversation_tests.rs	app-ai	CLOUD	All 3 need `convert_conversation_data_to_ai_conversation`, which does not exist in the fork's `convert_conversation.rs` (grep: zero hits). It restores a conversation from server-fetched `api::ConversationData` (with `amb RE-ADJUDICATED@42effe840 2026-08-15: ASSERTIONS ADDED upstream: `assert_eq!(conversation.usage_totals().cost_in_cents, Some(3.2));` and `assert!(conversation.usage_totals().has_usage);` (new `total_provider_cost_in_cents` server-metadata field). Verdict unchanged.		42effe840	2026-08-15	clean	docs/sweep/app-ai.md
test_convert_tool_call_result_to_input_upload_artifact_missing_result_is_error	app/src/ai/agent/api/convert_conversation_tests.rs	app-ai	CLOUD	All 3 need `convert_conversation_data_to_ai_conversation`, which does not exist in the fork's `convert_conversation.rs` (grep: zero hits). It restores a conversation from server-fetched `api::ConversationData` (with `amb [RE-EXAMINED@42effe840 2026-08-15: this test's body is unchanged 02b53fcd8->42effe840 (whitespace-normalized identical), but the file's shared non-test region (imports/fixtures/helpers) did change upstream and was not traced per-test; verdict carried forward on the body.]		42effe840	2026-08-15	clean	docs/sweep/app-ai.md
test_convert_tool_call_result_to_input_upload_artifact_success	app/src/ai/agent/api/convert_conversation_tests.rs	app-ai	CLOUD	All 3 need `convert_conversation_data_to_ai_conversation`, which does not exist in the fork's `convert_conversation.rs` (grep: zero hits). It restores a conversation from server-fetched `api::ConversationData` (with `amb [RE-EXAMINED@42effe840 2026-08-15: this test's body is unchanged 02b53fcd8->42effe840 (whitespace-normalized identical), but the file's shared non-test region (imports/fixtures/helpers) did change upstream and was not traced per-test; verdict carried forward on the body.]		42effe840	2026-08-15	clean	docs/sweep/app-ai.md
converts_upload_artifact_tool_call_to_action	app/src/ai/agent/api/convert_from_tests.rs	app-ai	CLOUD	`converts_upload_artifact_tool_call_to_action` needs `extract_upload_artifact_action`/`UploadFileArtifact` handling in `convert_from.rs` -- absent (only unreachable exhaustive-match arms exist elsewhere, e.g. `convert_co		02b53fcd8	2026-08-11	clean	docs/sweep/app-ai.md
api_keys_with_warp_credit_fallback_setting_creates_fallback_only_api_keys	app/src/ai/agent/api/impl_tests.rs	app-ai	CLOUD	crate::server::server_api::{AIApiError, ServerApi}; generate_multi_agent_output is the direct call into Warp's warp_multi_agent_api backend, superseded here by the fork's direct-genai BYOP path.		02b53fcd8	2026-08-11	clean	docs/sweep/app-ai.md
api_keys_with_warp_credit_fallback_setting_preserves_existing_keys	app/src/ai/agent/api/impl_tests.rs	app-ai	CLOUD	crate::server::server_api::{AIApiError, ServerApi}; generate_multi_agent_output is the direct call into Warp's warp_multi_agent_api backend, superseded here by the fork's direct-genai BYOP path.		02b53fcd8	2026-08-11	clean	docs/sweep/app-ai.md
api_keys_with_warp_credit_fallback_setting_returns_none_without_keys_or_fallback	app/src/ai/agent/api/impl_tests.rs	app-ai	CLOUD	crate::server::server_api::{AIApiError, ServerApi}; generate_multi_agent_output is the direct call into Warp's warp_multi_agent_api backend, superseded here by the fork's direct-genai BYOP path.		02b53fcd8	2026-08-11	clean	docs/sweep/app-ai.md
remote_supported_tools_include_search_codebase_when_connected_and_feature_flag_is_enabled	app/src/ai/agent/api/impl_tests.rs	app-ai	CLOUD	crate::server::server_api::{AIApiError, ServerApi}; generate_multi_agent_output is the direct call into Warp's warp_multi_agent_api backend, superseded here by the fork's direct-genai BYOP path.		02b53fcd8	2026-08-11	clean	docs/sweep/app-ai.md
remote_supported_tools_omit_search_codebase_when_feature_flag_is_disabled	app/src/ai/agent/api/impl_tests.rs	app-ai	CLOUD	crate::server::server_api::{AIApiError, ServerApi}; generate_multi_agent_output is the direct call into Warp's warp_multi_agent_api backend, superseded here by the fork's direct-genai BYOP path.		02b53fcd8	2026-08-11	clean	docs/sweep/app-ai.md
remote_supported_tools_omit_search_codebase_when_remote_is_not_connected	app/src/ai/agent/api/impl_tests.rs	app-ai	CLOUD	crate::server::server_api::{AIApiError, ServerApi}; generate_multi_agent_output is the direct call into Warp's warp_multi_agent_api backend, superseded here by the fork's direct-genai BYOP path.		02b53fcd8	2026-08-11	clean	docs/sweep/app-ai.md
supported_tools_include_orchestration_tools_when_orchestration_enabled	app/src/ai/agent/api/impl_tests.rs	app-ai	CLOUD	crate::server::server_api::{AIApiError, ServerApi}; generate_multi_agent_output is the direct call into Warp's warp_multi_agent_api backend, superseded here by the fork's direct-genai BYOP path.		02b53fcd8	2026-08-11	clean	docs/sweep/app-ai.md
supported_tools_include_upload_artifact_when_feature_flag_is_enabled	app/src/ai/agent/api/impl_tests.rs	app-ai	CLOUD	crate::server::server_api::{AIApiError, ServerApi}; generate_multi_agent_output is the direct call into Warp's warp_multi_agent_api backend, superseded here by the fork's direct-genai BYOP path.		02b53fcd8	2026-08-11	clean	docs/sweep/app-ai.md
supported_tools_includes_ask_user_question_when_enabled_and_feature_flag_is_enabled	app/src/ai/agent/api/impl_tests.rs	app-ai	CLOUD	crate::server::server_api::{AIApiError, ServerApi}; generate_multi_agent_output is the direct call into Warp's warp_multi_agent_api backend, superseded here by the fork's direct-genai BYOP path.		02b53fcd8	2026-08-11	clean	docs/sweep/app-ai.md
supported_tools_omit_orchestration_tools_when_orchestration_disabled	app/src/ai/agent/api/impl_tests.rs	app-ai	CLOUD	crate::server::server_api::{AIApiError, ServerApi}; generate_multi_agent_output is the direct call into Warp's warp_multi_agent_api backend, superseded here by the fork's direct-genai BYOP path.		02b53fcd8	2026-08-11	clean	docs/sweep/app-ai.md
supported_tools_omit_upload_artifact_when_feature_flag_is_disabled	app/src/ai/agent/api/impl_tests.rs	app-ai	CLOUD	crate::server::server_api::{AIApiError, ServerApi}; generate_multi_agent_output is the direct call into Warp's warp_multi_agent_api backend, superseded here by the fork's direct-genai BYOP path.		02b53fcd8	2026-08-11	clean	docs/sweep/app-ai.md
supported_tools_omits_ask_user_question_when_disabled	app/src/ai/agent/api/impl_tests.rs	app-ai	CLOUD	crate::server::server_api::{AIApiError, ServerApi}; generate_multi_agent_output is the direct call into Warp's warp_multi_agent_api backend, superseded here by the fork's direct-genai BYOP path.		02b53fcd8	2026-08-11	clean	docs/sweep/app-ai.md
supports_orchestration_v2_matches_request_orchestration_setting	app/src/ai/agent/api/impl_tests.rs	app-ai	CLOUD	crate::server::server_api::{AIApiError, ServerApi}; generate_multi_agent_output is the direct call into Warp's warp_multi_agent_api backend, superseded here by the fork's direct-genai BYOP path.		02b53fcd8	2026-08-11	clean	docs/sweep/app-ai.md
debugging_payload_is_id_on_non_dogfood_channels	app/src/ai/agent/api_tests.rs	app-ai	DIVERGENT	FIRST ADJUDICATION 2026-08-15 (UNCLASSIFIED bucket, judged at the NEW pin from the file's own imports). Pin imports: `use warp_core::channel::{Channel, ChannelState};` / `use super::ServerConversationToken;` / `use crate::ai::agent::ServerOutputId;` -- no cloud marker (no crate::server::, cloud_object, warp_graphql, ServerApiProvider), so this is NOT a cloud drop. The divergence is in the link body: pin api.rs:52 `pub fn debug_link(&self) -> String { format!("{}/debug/maa/{}", ChannelState::server_root_url(), self.as_str()) }` and api.rs:65 `fn debugging_payload_for_channel(&self, request_id, channel)`; the fork's app/src/ai/agent/api.rs:57 keeps `debug_link()` but as `format!("{}://debug/maa/{}", ChannelState::url_scheme(), self.as_str())` -- a local deep link, not a warp.dev URL -- and defines no `debugging_payload` / `debugging_payload_for_channel` at all. Both tests assert `format!("{}/debug/maa/conversation-token", ChannelState::server_root_url())`, which the fork's substitute can never produce. TRAP NOTE: the fork DOES have a file at this exact path, but it is a different module -- fork app/src/ai/agent/api_tests.rs is fork-original coverage of `collect_user_rules` (issue #116), sharing zero test names with the pin file.		42effe840	2026-08-15	judgement	repin-queue:UNCLASSIFIED@42effe840
debugging_payload_is_link_on_dogfood_channels	app/src/ai/agent/api_tests.rs	app-ai	DIVERGENT	FIRST ADJUDICATION 2026-08-15 (UNCLASSIFIED bucket, judged at the NEW pin from the file's own imports). Pin imports: `use warp_core::channel::{Channel, ChannelState};` / `use super::ServerConversationToken;` / `use crate::ai::agent::ServerOutputId;` -- no cloud marker (no crate::server::, cloud_object, warp_graphql, ServerApiProvider), so this is NOT a cloud drop. The divergence is in the link body: pin api.rs:52 `pub fn debug_link(&self) -> String { format!("{}/debug/maa/{}", ChannelState::server_root_url(), self.as_str()) }` and api.rs:65 `fn debugging_payload_for_channel(&self, request_id, channel)`; the fork's app/src/ai/agent/api.rs:57 keeps `debug_link()` but as `format!("{}://debug/maa/{}", ChannelState::url_scheme(), self.as_str())` -- a local deep link, not a warp.dev URL -- and defines no `debugging_payload` / `debugging_payload_for_channel` at all. Both tests assert `format!("{}/debug/maa/conversation-token", ChannelState::server_root_url())`, which the fork's substitute can never produce. TRAP NOTE: the fork DOES have a file at this exact path, but it is a different module -- fork app/src/ai/agent/api_tests.rs is fork-original coverage of `collect_user_rules` (issue #116), sharing zero test names with the pin file.		42effe840	2026-08-15	judgement	repin-queue:UNCLASSIFIED@42effe840
cli_agent_transcript_vehicle_is_excluded_from_navigation	app/src/ai/agent/conversation_tests.rs	app-ai	MISSING-SUBSYSTEM	RE-VERIFIED 2026-08-10: fork's AIConversation::new(bool) lacks the pin's second is_cli_agent_transcript param/field entirely. [RE-EXAMINED@42effe840 2026-08-15: this test's body is unchanged 02b53fcd8->42effe840 (whitespace-normalized identical), but the file's shared non-test region (imports/fixtures/helpers) did change upstream and was not traced per-test; verdict carried forward on the body.]		42effe840	2026-08-15	clean	docs/sweep/app-ai.md
empty_task_restore_seeds_known_provider_cost_baseline	app/src/ai/agent/conversation_tests.rs	app-ai	MISSING-SUBSYSTEM	New at 42effe840. All seven added tests read `conversation.usage_totals()` and assert on `ConversationUsageTotals { cost_in_cents, has_usage }`, seeded from `ConversationUsageMetadata { total_provider_cost_in_cents }`. None of that exists in the fork: `grep -rn 'fn usage_totals\|total_provider_cost_in_cents\|fn new_restored_synthesizing_on_empty' app/src crates` -> 0 hits, and the fork's `ConversationUsageMetadata` (crates/persistence/src/model.rs:1631-1641) has only was_summarized/context_window_usage/credits_spent/credits_spent_for_last_block/token_usage/tool_usage_metadata. `ConversationUsageTotals` appears in the fork only inside a doc comment (crates/warp_tui/src/usage.rs:4). Not cloud: `ServerApiProvider` is present only in the shared test-harness setup, and `update_cost_and_usage_for_request` itself does exist (app/src/ai/agent/conversation.rs:1917).		42effe840	2026-08-15	clean	issue-592-newtest-gap
fetched_memories_dedupes_keeping_first_position_and_latest_data	app/src/ai/agent/conversation_tests.rs	app-ai	PORTABLE	RE-ADJUDICATED 2026-08-10: fetched_memories() exists (conversation.rs:1251); no matching fork test yet. Left PORTABLE. [RE-EXAMINED@42effe840 2026-08-15: this test's body is unchanged 02b53fcd8->42effe840 (whitespace-normalized identical), but the file's shared non-test region (imports/fixtures/helpers) did change upstream and was not traced per-test; verdict carried forward on the body.]		42effe840	2026-08-15	clean	docs/sweep/app-ai.md
fetched_memories_is_empty_when_no_message_has_memories	app/src/ai/agent/conversation_tests.rs	app-ai	PORTABLE	RE-ADJUDICATED 2026-08-10: fetched_memories() exists (conversation.rs:1251); no matching fork test yet. Left PORTABLE. [RE-EXAMINED@42effe840 2026-08-15: this test's body is unchanged 02b53fcd8->42effe840 (whitespace-normalized identical), but the file's shared non-test region (imports/fixtures/helpers) did change upstream and was not traced per-test; verdict carried forward on the body.]		42effe840	2026-08-15	clean	docs/sweep/app-ai.md
fetched_memories_preserves_order_across_and_within_messages	app/src/ai/agent/conversation_tests.rs	app-ai	PORTABLE	RE-ADJUDICATED 2026-08-10: fetched_memories() exists (conversation.rs:1251); no matching fork test yet. Left PORTABLE. [RE-EXAMINED@42effe840 2026-08-15: this test's body is unchanged 02b53fcd8->42effe840 (whitespace-normalized identical), but the file's shared non-test region (imports/fixtures/helpers) did change upstream and was not traced per-test; verdict carried forward on the body.]		42effe840	2026-08-15	clean	docs/sweep/app-ai.md
footer_model_token_usage_keeps_custom_endpoint_usage_distinct_from_same_labeled_models	app/src/ai/agent/conversation_tests.rs	app-ai	DECLINED	DECLINED.md #142/#347 CustomEndpoint row. [RE-EXAMINED@42effe840 2026-08-15: this test's body is unchanged 02b53fcd8->42effe840 (whitespace-normalized identical), but the file's shared non-test region (imports/fixtures/helpers) did change upstream and was not traced per-test; verdict carried forward on the body.]	#142	42effe840	2026-08-15	clean	docs/sweep/app-ai.md
footer_model_token_usage_preserves_unresolved_custom_endpoint_usage_with_fallback_label	app/src/ai/agent/conversation_tests.rs	app-ai	DECLINED	DECLINED.md #142/#347 CustomEndpoint row. [RE-EXAMINED@42effe840 2026-08-15: this test's body is unchanged 02b53fcd8->42effe840 (whitespace-normalized identical), but the file's shared non-test region (imports/fixtures/helpers) did change upstream and was not traced per-test; verdict carried forward on the body.]	#142	42effe840	2026-08-15	clean	docs/sweep/app-ai.md
reassign_exchange_ids_keeps_exchange_lookup_consistent	app/src/ai/agent/conversation_tests.rs	app-ai	PORTABLE	RE-ADJUDICATED 2026-08-10: reassign_exchange_ids, exchange_with_id, and all_exchanges all exist (conversation.rs:678,1385,1352); no matching fork test yet. Left PORTABLE. [RE-EXAMINED@42effe840 2026-08-15: this test's body is unchanged 02b53fcd8->42effe840 (whitespace-normalized identical), but the file's shared non-test region (imports/fixtures/helpers) did change upstream and was not traced per-test; verdict carried forward on the body.]		42effe840	2026-08-15	clean	docs/sweep/app-ai.md
recording_span_clears_when_stop_errors	app/src/ai/agent/conversation_tests.rs	app-ai	DECLINED	Exercises start_recording_tool_call/stop_recording_tool_call message sequences -- the computer_use session-recording feature DECLINED.md marks out of scope under #350. [RE-EXAMINED@42effe840 2026-08-15: this test's body is unchanged 02b53fcd8->42effe840 (whitespace-normalized identical), but the file's shared non-test region (imports/fixtures/helpers) did change upstream and was not traced per-test; verdict carried forward on the body.]	#350	42effe840	2026-08-15	clean	docs/sweep/app-ai.md
recording_span_closes_on_matching_stop_result	app/src/ai/agent/conversation_tests.rs	app-ai	DECLINED	Exercises start_recording_tool_call/stop_recording_tool_call message sequences -- the computer_use session-recording feature DECLINED.md marks out of scope under #350. [RE-EXAMINED@42effe840 2026-08-15: this test's body is unchanged 02b53fcd8->42effe840 (whitespace-normalized identical), but the file's shared non-test region (imports/fixtures/helpers) did change upstream and was not traced per-test; verdict carried forward on the body.]	#350	42effe840	2026-08-15	clean	docs/sweep/app-ai.md
recording_span_ignores_failed_start	app/src/ai/agent/conversation_tests.rs	app-ai	DECLINED	Exercises start_recording_tool_call/stop_recording_tool_call message sequences -- the computer_use session-recording feature DECLINED.md marks out of scope under #350. [RE-EXAMINED@42effe840 2026-08-15: this test's body is unchanged 02b53fcd8->42effe840 (whitespace-normalized identical), but the file's shared non-test region (imports/fixtures/helpers) did change upstream and was not traced per-test; verdict carried forward on the body.]	#350	42effe840	2026-08-15	clean	docs/sweep/app-ai.md
recording_span_ignores_mismatched_stop_id	app/src/ai/agent/conversation_tests.rs	app-ai	DECLINED	Exercises start_recording_tool_call/stop_recording_tool_call message sequences -- the computer_use session-recording feature DECLINED.md marks out of scope under #350. [RE-EXAMINED@42effe840 2026-08-15: this test's body is unchanged 02b53fcd8->42effe840 (whitespace-normalized identical), but the file's shared non-test region (imports/fixtures/helpers) did change upstream and was not traced per-test; verdict carried forward on the body.]	#350	42effe840	2026-08-15	clean	docs/sweep/app-ai.md
recording_span_stays_open_without_stop_result	app/src/ai/agent/conversation_tests.rs	app-ai	DECLINED	Exercises start_recording_tool_call/stop_recording_tool_call message sequences -- the computer_use session-recording feature DECLINED.md marks out of scope under #350. [RE-EXAMINED@42effe840 2026-08-15: this test's body is unchanged 02b53fcd8->42effe840 (whitespace-normalized identical), but the file's shared non-test region (imports/fixtures/helpers) did change upstream and was not traced per-test; verdict carried forward on the body.]	#350	42effe840	2026-08-15	clean	docs/sweep/app-ai.md
restored_conversation_ignores_legacy_root_task_is_optimistic_flag_with_empty_tasks	app/src/ai/agent/conversation_tests.rs	app-ai	PORTABLE	RE-ADJUDICATED 2026-08-10: AgentConversationData.root_task_is_optimistic now exists (crates/persistence/src/model.rs:1337, doc comment: "new writes always emit None and restore code ignores the value") -- this CONTRADICTS DECLINED.md #376, which claimed the field was absent; #376 has been flagged as stale (see DECLINED.md edit, 2026-08-10). Left PORTABLE, not ported: needs care to match the field's None-on-write/ignore-on-restore semantics precisely. [RE-EXAMINED@42effe840 2026-08-15: this test's body is unchanged 02b53fcd8->42effe840 (whitespace-normalized identical), but the file's shared non-test region (imports/fixtures/helpers) did change upstream and was not traced per-test; verdict carried forward on the body.]		42effe840	2026-08-15	clean	docs/sweep/app-ai.md
restored_conversation_ignores_legacy_root_task_is_optimistic_flag_with_non_empty_tasks	app/src/ai/agent/conversation_tests.rs	app-ai	PORTABLE	RE-ADJUDICATED 2026-08-10: AgentConversationData.root_task_is_optimistic now exists (crates/persistence/src/model.rs:1337, doc comment: "new writes always emit None and restore code ignores the value") -- this CONTRADICTS DECLINED.md #376, which claimed the field was absent; #376 has been flagged as stale (see DECLINED.md edit, 2026-08-10). Left PORTABLE, not ported: needs care to match the field's None-on-write/ignore-on-restore semantics precisely. [RE-EXAMINED@42effe840 2026-08-15: this test's body is unchanged 02b53fcd8->42effe840 (whitespace-normalized identical), but the file's shared non-test region (imports/fixtures/helpers) did change upstream and was not traced per-test; verdict carried forward on the body.]		42effe840	2026-08-15	clean	docs/sweep/app-ai.md
restored_conversation_seeds_known_provider_cost_baseline	app/src/ai/agent/conversation_tests.rs	app-ai	MISSING-SUBSYSTEM	New at 42effe840. All seven added tests read `conversation.usage_totals()` and assert on `ConversationUsageTotals { cost_in_cents, has_usage }`, seeded from `ConversationUsageMetadata { total_provider_cost_in_cents }`. None of that exists in the fork: `grep -rn 'fn usage_totals\|total_provider_cost_in_cents\|fn new_restored_synthesizing_on_empty' app/src crates` -> 0 hits, and the fork's `ConversationUsageMetadata` (crates/persistence/src/model.rs:1631-1641) has only was_summarized/context_window_usage/credits_spent/credits_spent_for_last_block/token_usage/tool_usage_metadata. `ConversationUsageTotals` appears in the fork only inside a doc comment (crates/warp_tui/src/usage.rs:4). Not cloud: `ServerApiProvider` is present only in the shared test-harness setup, and `update_cost_and_usage_for_request` itself does exist (app/src/ai/agent/conversation.rs:1917).		42effe840	2026-08-15	clean	issue-592-newtest-gap
